brand,model,age,km_driven,transmission,owner,fuel_type,posted_date,ask_price,log_price
Honda,Jazz,10,68001,Manual,second,Petrol,Oct-24,444000,13.003579841414362
Other_Brands,Other_Models,12,72000,Manual,first,Diesel,Nov-24,345000,12.751299696013497
BMW,3 Series GT,6,50000,Automatic,second,Diesel,Nov-24,2675000,14.799459938312244
Honda,City,9,95000,Manual,second,Petrol,Nov-24,535000,13.190022025878143
Maruti Suzuki,Other_Models,4,39000,Automatic,first,Petrol,Nov-24,465000,13.049792684569493
Mahindra,XUV500,12,60000,Manual,second,Diesel,Nov-24,695000,13.45166712454693
Hyundai,Other_Models,8,72315,Automatic,second,Diesel,Nov-24,1035000,13.849911984681606
Hyundai,Verna,11,82000,Automatic,second,Petrol,Nov-24,390000,12.873902018105829
Toyota,Other_Models,10,68000,Automatic,second,Petrol,Nov-24,1185000,13.985253332551368
Maruti Suzuki,Alto,6,85000,Automatic,second,Petrol,Nov-24,280000,12.542544882151386
Hyundai,Other_Models,9,64000,Automatic,first,Diesel,Nov-24,1245000,14.034646087880946
Hyundai,Other_Models,9,68500,Manual,second,Petrol,Nov-24,440000,12.994530005894443
Maruti Suzuki,Other_Models,3,44000,Automatic,first,Petrol,Nov-24,780000,13.567049198665774
Maruti Suzuki,Swift,6,59000,Manual,first,Petrol,Nov-24,540000,13.199324418540456
Other_Brands,Other_Models,3,32000,Automatic,first,Petrol,Oct-24,1275000,14.058456736574664
Audi,Other_Models,11,45000,Automatic,second,Diesel,Nov-24,1200000,13.997832114758229
Volkswagen,VentoTest,9,130000,Automatic,second,Petrol,Oct-24,525000,13.17115354157376
Toyota,Innova Crysta,8,112000,Automatic,first,Diesel,Oct-24,1551111,14.254482006329042
Other_Brands,Other_Models,11,32000,Automatic,second,Diesel,Oct-24,1900000,14.457364444136669
Other_Brands,KWID,8,78537,Automatic,first,Petrol,Nov-24,375000,12.834681304952548
Volkswagen,VentoTest,7,70673,Automatic,first,Diesel,Nov-24,775000,13.560618308335483
Maruti Suzuki,Baleno,7,39848,Manual,first,Petrol,Nov-24,479931,13.081397622551052
Audi,Other_Models,9,77000,Automatic,first,Diesel,Nov-24,1500000,14.22097566607244
Maruti Suzuki,Alto,17,111400,Manual,second,Petrol,Nov-24,150000,11.918390573078392
Toyota,Fortuner,8,30000,Automatic,second,Diesel,Nov-24,3495000,15.066843933650048
Other_Brands,Rapid,10,82000,Automatic,second,Diesel,Nov-24,325000,12.691580461311874
Maruti Suzuki,Swift-Dzire,12,89000,Manual,second,Diesel,Nov-24,361000,12.796633237315017
Toyota,Fortuner,10,195000,Automatic,first,Diesel,Nov-24,1550000,14.253765488895429
Tata,Other_Models,8,65110,Manual,first,Diesel,Nov-24,695000,13.45166712454693
Hyundai,Other_Models,3,25000,Manual,first,Petrol,Sep-24,1375000,14.133964289082808
BMW,Other_Models,11,115000,Automatic,first,Diesel,Oct-24,1500000,14.22097566607244
Honda,Jazz,10,64000,Manual,first,Petrol,Oct-24,574999,13.26212358064754
Volkswagen,Polo,12,61000,Automatic,first,Petrol,Nov-24,415000,12.936033799212835
Hyundai,Grand i10,11,54000,Automatic,second,Petrol,Nov-24,479000,13.079455876393052
Toyota,Innova Crysta,3,25000,Automatic,first,Diesel,Nov-24,2600000,14.77102200299171
Maruti Suzuki,Celerio,10,103000,Automatic,second,Petrol,Nov-24,360000,12.793859310432293
Mahindra,Thar,3,14000,Automatic,first,Petrol,Nov-24,1550000,14.253765488895429
Tata,Other_Models,10,56000,Manual,first,Petrol,Nov-24,235000,12.367340793126296
BMW,5 Series,9,47000,Automatic,second,Diesel,Nov-24,2500000,14.73180128983843
Other_Brands,Other_Models,12,97763,Automatic,second,Diesel,Nov-24,1550000,14.253765488895429
Tata,Tiago,4,74000,Manual,second,Petrol,Nov-24,515000,13.151922179645874
Honda,Other_Models,10,50000,Manual,second,Petrol,Nov-24,385000,12.86099861326992
Toyota,Innova Crysta,4,42000,Manual,second,Diesel,Nov-24,2550000,14.75160391713461
Other_Brands,Rapid,11,71000,Automatic,second,Petrol,Nov-24,395000,12.886641043883259
Mahindra,Thar,5,40000,Manual,first,Diesel,Nov-24,1195000,13.993656743347747
BMW,3 Series GT,10,61000,Automatic,second,Diesel,Nov-24,1500000,14.22097566607244
Hyundai,i20,15,83000,Manual,second,Petrol,Jul-24,235000,12.367340793126296
Toyota,Fortuner,13,166000,Manual,second,Diesel,Aug-24,1650000,14.316285845876763
Tata,Other_Models,21,70899,Manual,second,Petrol,Nov-24,98000,11.49272275765271
Maruti Suzuki,Ertiga,6,91000,Manual,first,Diesel,Nov-24,1149000,13.954402556830892
Tata,Other_Models,3,27000,Manual,first,Diesel,Nov-24,1865000,14.438771611060053
Hyundai,Creta,7,77620,Automatic,first,Diesel,Nov-24,1350000,14.115615150414612
Other_Brands,Ecosport,8,85000,Manual,second,Diesel,Oct-24,649999,13.384726103409099
Tata,Other_Models,9,58,Automatic,second,Petrol,Nov-24,186000,12.133501952695338
Maruti Suzuki,Swift-Dzire,9,25,Manual,second,Diesel,Nov-24,420000,12.948009990259552
Hyundai,Grand i10,11,80000,Manual,second,Petrol,Nov-24,375556,12.836162873554235
Volkswagen,Polo,6,35000,Automatic,second,Petrol,Nov-24,1185000,13.985253332551368
Honda,Other_Models,9,77000,Automatic,first,Petrol,Nov-24,575000,13.262125319779487
Maruti Suzuki,Swift,7,63259,Automatic,second,Diesel,Nov-24,520000,13.16158409055761
Other_Brands,Ecosport,8,110000,Manual,first,Diesel,Nov-24,449999,13.017000639521811
Hyundai,i20,2,14000,Automatic,first,Petrol,Oct-24,925000,13.737549016494562
Volkswagen,Other_Models,7,52000,Automatic,first,Diesel,Nov-24,1915000,14.465228180596883
Mercedes-Benz,Other_Models,14,45000,Automatic,second,Diesel,Nov-24,7500000,15.830413578506539
BMW,Other_Models,9,65000,Automatic,second,Diesel,Nov-24,1325000,14.09692301740246
Other_Brands,Duster,9,75000,Automatic,second,Diesel,Nov-24,595000,13.296316684527767
Maruti Suzuki,Swift,18,135000,Manual,second,Diesel,Nov-24,165000,12.013700752882718
Toyota,Innova,11,105000,Manual,second,Diesel,Nov-24,780000,13.567049198665774
Other_Brands,Other_Models,9,151000,Automatic,second,Diesel,Nov-24,2800000,14.845129975145433
BMW,Other_Models,12,61000,Automatic,second,Diesel,Nov-24,851000,13.65416740755551
Maruti Suzuki,Other_Models,2,21209,Manual,first,Petrol,Nov-24,1290000,14.070152776337855
Toyota,Other_Models,5,87000,Manual,first,Petrol,Oct-24,733000,13.504900980868788
Other_Brands,Duster,9,130000,Manual,second,Diesel,Nov-24,599000,13.303016877097587
Other_Brands,Other_Models,10,125000,Automatic,second,Diesel,Nov-24,1075000,13.8878312195439
